id,budget,genres,popularity,release_date,revenue,title,vote_average,vote_count,release_year,return,DiaSemana,Mes,cast,crew
41280,2800000.0,"['Romance', 'Comedy']",8.173864,1981-08-21,26279000.0,Private Lessons,6.3,23.0,1981,9.385357142857142,Viernes,Agosto,"['Sylvia Kristel', 'Howard Hesseman', 'Eric Brown', 'Meridith Baer', 'Pamela Jean Bryant', 'Peter Elbling', 'Ed Begley Jr.', 'Ron Foster', 'Beans Morocco']","['Alan Myerson', 'Dan Greenburg', 'Dan Greenburg', 'Jan de Bont', 'Mel Metcalfe', 'Stan Wetzel', 'Gordon L. Day', 'Russ Tinsley', 'Michael Hilkene', 'Andy Babbish', 'Fred A. Chulack', 'R. Ben Efraim', 'Michael Paris', 'Linda Pearl', 'Robert Fawcett']"
68412,0.0,['Drama'],0.481907,2010-01-01,0.0,3 Backyards,4.8,4.0,2010,0.0,Viernes,Enero,"['Edie Falco', 'Embeth Davidtz', 'Elias Koteas', 'Rachel Resheff', 'Kathryn Erbe', 'Danai Gurira', 'Dana Eskelson', 'Kathy Searle', 'Peyton List']","['Eric Mendelsohn', 'Eric Mendelsohn']"
345916,0.0,['Drama'],0.814903,2017-07-07,0.0,Do You Take This Man,0.0,0.0,2017,0.0,Viernes,Julio,"['Anthony Rapp', 'Alona Tal', 'Alyson Hannigan', 'Hutchi Hancock', 'Jonathan Bennett', 'Thomas Dekker', 'Mackenzie Astin', 'Marla Sokoloff', 'Lee Garlington', 'Sam Anderson']","['Joshua Tunick', 'Joshua Tunick']"
84203,3000000.0,['Comedy'],3.375751,2012-08-10,0.0,Goats,5.4,29.0,2012,0.0,Viernes,Agosto,"['David Duchovny', 'Vera Farmiga', 'Graham Phillips', 'Keri Russell', 'Justin Kirk', 'Ty Burrell', 'Dakota Johnson', 'Anthony Anderson', 'Adelaide Kane', 'Alan Ruck', 'Olga Segura', 'Nicholas Lobue', 'Ronnie Rubalcaba', 'Tommee May', 'Musashi Alexander', 'Ana Auther', 'Geoff Ellsworth']","['Brent Morris', 'Christopher Neil', 'Mark Poirier', 'Mark Poirier']"
220724,0.0,"['Fantasy', 'Action', 'Comedy']",0.580803,1997-01-01,0.0,Armageddon,0.0,0.0,1997,0.0,Miércoles,Enero,"['Andy Lau', 'Michelle Reis', 'Anthony Wong', 'Claudia Lau Sin-Yi', 'Vincent Kok', 'Michael Lui Mai-Go', 'Jessica Chow Jing', 'Kim Yip', 'Angel Wong Chui-Ling', 'Wayne Lai', 'Kam Kong']",['Gordon Chan']
43003,0.0,['Documentary'],3.252225,1973-03-13,0.0,F for Fake,7.2,77.0,1973,0.0,Martes,Marzo,"['Orson Welles', 'Joseph Cotten', 'Oja Kodar', 'Elmyr de Hory', 'Clifford Irving', 'Laurence Harvey']","['Orson Welles', 'Orson Welles', 'Gary Graver', 'Marie-Sophie Dubus', 'Oja Kodar', 'Dominique Antoine', 'François Reichenbach', 'François Reichenbach', 'Richard Drewitt', 'Dominique Engerer']"
19059,0.0,"['Thriller', 'Adventure', 'Action', 'Comedy']",7.106448,2005-10-11,0.0,Dead Fish,5.8,17.0,2005,0.0,Martes,Octubre,"['Gary Oldman', 'Robert Carlyle', 'Anouska Bolton Lee', 'Cassandra Bell', 'John Pearson', 'Kevin McNally', 'Elena Anaya', 'Andrew-Lee Potts', 'Iddo Goldberg', 'Julie Healy', 'Jimi Mistry', 'Billy Zane', 'Frances Barber', 'Paul Courtenay Hyu', 'Terence Stamp']","['Adam Kreutner', 'Charley Stadler', 'Thomas Geiger', 'Charley Stadler', 'David Mitchell']"
24671,0.0,"['Adventure', 'Drama', 'War']",1.20343,2005-09-12,0.0,River Queen,6.7,9.0,2005,0.0,Lunes,Septiembre,"['Samantha Morton', 'Kiefer Sutherland', 'Cliff Curtis', 'Stephen Rea', 'Temuera Morrison']","['Vincent Ward', 'Vincent Ward']"
42726,0.0,"['Drama', 'Romance']",2.924112,1966-01-01,0.0,A Man and a Woman,7.2,33.0,1966,0.0,Sábado,Enero,"['Jean-Louis Trintignant', 'Anouk Aimée', 'Pierre Barouh', 'Valérie Lagrange', 'Simone Paris', 'Antoine Sire', 'Souad Amidou', 'Henri Chemin', 'Yane Barry', 'Gérard Sire', 'Gérard Larrousse', 'Clive Roberts', 'Paul Le Person']","['Claude Lelouch', 'Claude Lelouch', 'Francis Lai', 'Pierre Uytterhoeven', 'Pierre Barouh']"
26516,0.0,['Drama'],4.582859,1955-03-25,0.0,Blackboard Jungle,6.9,45.0,1955,0.0,Viernes,Marzo,"['Glenn Ford', 'Anne Francis', 'Sidney Poitier', 'Vic Morrow', 'Louis Calhern', 'Margaret Hayes', 'John Hoyt', 'Richard Kiley', 'Emile Meyer', 'Warner Anderson', 'Basil Ruysdael', 'Paul Mazursky', 'Dan Terranova', 'Rafael Campos', 'Horace McMahon', 'Jamie Farr', 'Danny Dennis', 'Bobby Somers']","['Richard Brooks', 'Richard Brooks', 'Ferris Webster', 'Henry Grace', 'Russell Harlan', 'Evan Hunter', 'Cedric Gibbons', 'Edwin B. Willis', 'Randall Duell', 'William Tuttle', 'Pandro S. Berman']"
